oekobaudatName,oekobaudatUuid____448d1096-2017-4901-a560-f652a83c737e____2020-II,oekobaudatUuid____22885a6e-1765-4ade-a35e-ae668bd07256____2023-I,oekobaudatUuid____cd2bda71-760b-4fcc-8a0b-3877c10000a8____2021-II,oekobaudatUuid____8201b671-10cd-4dc5-9750-0b856d998be4____2020-I,oekobaudatUuid____0454ab26-f45c-4e24-8260-9e2049738b75____2019-III,oekobaudatUuid____815d8970-02dc-4abc-b02e-78d41b4e4bb5____2019-II,oekobaudatUuid____30b63be3-b76b-4bd4-a876-330790c228a9____2019-I,oekobaudatUuid____cc02f499-6b0f-4556-bb4a-7abe48e55f71____2017,tBaustoffName,eolCategoryName,eolScenarioReal,eolScenarioPotential,technologyFactor,Unnamed: 8,processCategoryNumber,productUuid,eolCategoryUuid
Lacksysteme Holzfenster Zwischenbeschichtung deckend weiß,08138b62-1b5f-497a-bf9a-d7f857a2e575,b347b33b-8a05-4d0a-83c4-1337c986a775,08138b62-1b5f-497a-bf9a-d7f857a2e575,08138b62-1b5f-497a-bf9a-d7f857a2e575,08138b62-1b5f-497a-bf9a-d7f857a2e575,08138b62-1b5f-497a-bf9a-d7f857a2e575,08138b62-1b5f-497a-bf9a-d7f857a2e575,08138b62-1b5f-497a-bf9a-d7f857a2e575,Lacksysteme Holzfenster Zwischenbeschichtung deckend weiß,Lacke (auf Holzuntergrund),EV-,EV-,0,,5.6,3b3b36c0-a454-5bd0-be9e-e12719f1517f,7a95c29f-5b21-5f8b-a98c-081cc92b1ab8
Laminat DPL (Direct Pressed Laminate),nicht vorhanden,7c411026-6771-4fb6-85bf-85b248486409,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Laminatboden,Laminat,EV-,EV-,0,,,2904873f-ec4a-5ebd-a4c6-0529473a9fb6,a01f4f14-75a1-5768-8e30-1de3c4133ae2
Lava Körnung,f8d6bd85-55e0-42d3-982b-b814387b7f58,e2799f93-b221-48c5-b7ee-9dd39850e379,f8d6bd85-55e0-42d3-982b-b814387b7f58,f8d6bd85-55e0-42d3-982b-b814387b7f58,f8d6bd85-55e0-42d3-982b-b814387b7f58,f8d6bd85-55e0-42d3-982b-b814387b7f58,f8d6bd85-55e0-42d3-982b-b814387b7f58,f8d6bd85-55e0-42d3-982b-b814387b7f58,Lava Körnung,Bims / Blähschüttung,Dep+,RC+,0.75,,1.2,1a24b319-7240-5ff7-b9d0-97b32a13874c,e0500551-6a94-5df0-a516-47a96d4da56c
LED Bürobeleuchtung,nicht vorhanden,b6dd564d-22e0-47b7-898c-802644931ba4,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,LED Bürobeleuchtung,nicht eingestuft,n.e.,n.e.,n.e.,,8.4,131c2e9f-5b75-592d-ae8a-ea2a52a22961,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Lehmbauplatte,6aff7a60-d7cd-430e-8b15-02556b6f62ff,eb255e58-7955-4d25-a333-4db0340b2864,6aff7a60-d7cd-430e-8b15-02556b6f62ff,6aff7a60-d7cd-430e-8b15-02556b6f62ff,6aff7a60-d7cd-430e-8b15-02556b6f62ff,6aff7a60-d7cd-430e-8b15-02556b6f62ff,6aff7a60-d7cd-430e-8b15-02556b6f62ff,6aff7a60-d7cd-430e-8b15-02556b6f62ff,Lehmbauplatte,Lehmbauplatte,SV,CL+,0.75,,1.3,5c395dfc-3fd2-5e4c-b289-7a47cc35e49c,478771d1-af27-5614-a691-2f970d0b94f9
Lehmbauplatte,6aff7a60-d7cd-430e-8b15-02556b6f62ff,eb255e58-7955-4d25-a333-4db0340b2864,6aff7a60-d7cd-430e-8b15-02556b6f62ff,6aff7a60-d7cd-430e-8b15-02556b6f62ff,6aff7a60-d7cd-430e-8b15-02556b6f62ff,6aff7a60-d7cd-430e-8b15-02556b6f62ff,6aff7a60-d7cd-430e-8b15-02556b6f62ff,6aff7a60-d7cd-430e-8b15-02556b6f62ff,Lehmbauplatte mit CL-Nachweis,Lehmbauplatte mit CL-Nachweis,CL+,CL+,1,,1.3,4a9a1d81-42cd-50fa-a26a-f80a49a24fe5,1a2421ff-0e3a-5cdf-8763-d0cf5b684088
,,,,,,,,,Lehmfarbe,"Lehmfarbe, auf Lehmplatte",Dep+,CL+,0.75,,5.5,b5d8e723-969c-5556-9b8c-bc0885e99b0a,a2898e84-556a-53ca-962e-d9895d84fcd2
,,,,,,,,,Lehm-Klebe- und Haftmörtel,Lehmputz,SV,CL+,0.75,,1.4,345bad70-5c23-56ff-aaa8-e5bfcceb0d79,5605e30f-b7c9-5dcc-9815-c17b0be8cd26
Lehmpulver,3d9f0293-304f-4731-8136-326cebf8b1f0,514b2993-2942-44b1-a4a5-a1b209f14d2a,3d9f0293-304f-4731-8136-326cebf8b1f0,3d9f0293-304f-4731-8136-326cebf8b1f0,3d9f0293-304f-4731-8136-326cebf8b1f0,3d9f0293-304f-4731-8136-326cebf8b1f0,3d9f0293-304f-4731-8136-326cebf8b1f0,3d9f0293-304f-4731-8136-326cebf8b1f0,Lehmpulver,Grundstoff nicht eingestuft,nicht eingestuft,n.e.,n.e.,n.e.,1.1,fba38ee9-345e-5b09-8bae-01ec30387125,71b469c3-6a93-5e60-b8f2-b24c3e39609f
Lehmputz,8be785fa-5548-4ea5-a2d7-b962675b9eff,9eae2fed-dba0-4641-b1cc-fd2cc65f2016,8be785fa-5548-4ea5-a2d7-b962675b9eff,8be785fa-5548-4ea5-a2d7-b962675b9eff,8be785fa-5548-4ea5-a2d7-b962675b9eff,8be785fa-5548-4ea5-a2d7-b962675b9eff,8be785fa-5548-4ea5-a2d7-b962675b9eff,8be785fa-5548-4ea5-a2d7-b962675b9eff,Lehmputz,Lehmputz,SV,CL+,0.75,,1.4,e9fb70d2-d10e-598c-a688-cbf9089bcc10,5605e30f-b7c9-5dcc-9815-c17b0be8cd26
Lehmputz,8be785fa-5548-4ea5-a2d7-b962675b9eff,9eae2fed-dba0-4641-b1cc-fd2cc65f2016,8be785fa-5548-4ea5-a2d7-b962675b9eff,8be785fa-5548-4ea5-a2d7-b962675b9eff,8be785fa-5548-4ea5-a2d7-b962675b9eff,8be785fa-5548-4ea5-a2d7-b962675b9eff,8be785fa-5548-4ea5-a2d7-b962675b9eff,8be785fa-5548-4ea5-a2d7-b962675b9eff,Lehmputz mit CL-Nachweis,Lehmputz mit CL-Nachweis,CL+,CL+,1,,1.4,56407066-5d2e-567e-864d-816c9c279ae6,90fb93fb-7b2d-587e-8a8b-396f2f98807e
Lehmputz,8be785fa-5548-4ea5-a2d7-b962675b9eff,9eae2fed-dba0-4641-b1cc-fd2cc65f2016,8be785fa-5548-4ea5-a2d7-b962675b9eff,8be785fa-5548-4ea5-a2d7-b962675b9eff,8be785fa-5548-4ea5-a2d7-b962675b9eff,8be785fa-5548-4ea5-a2d7-b962675b9eff,8be785fa-5548-4ea5-a2d7-b962675b9eff,8be785fa-5548-4ea5-a2d7-b962675b9eff,Lehmputz mit Störstoff S4,Lehmputz mit Störstoff S4,Dep+,Dep+,0,,1.4,8eb50c02-0dcd-50bb-87f0-cafd3e1aa72a,3ac4522f-90eb-5817-8236-99fe6a762265
Lehmputz,8be785fa-5548-4ea5-a2d7-b962675b9eff,9eae2fed-dba0-4641-b1cc-fd2cc65f2016,8be785fa-5548-4ea5-a2d7-b962675b9eff,8be785fa-5548-4ea5-a2d7-b962675b9eff,8be785fa-5548-4ea5-a2d7-b962675b9eff,8be785fa-5548-4ea5-a2d7-b962675b9eff,8be785fa-5548-4ea5-a2d7-b962675b9eff,8be785fa-5548-4ea5-a2d7-b962675b9eff,"Lehmputz, kunststofffaserarmiert","Lehmputz, kunststofffaserarmiert",Dep+,CL+,0.75,,1.4,748febef-e7b2-50cd-8c54-0e702768fd5b,0750e7b7-0888-538f-8071-47abb7ad5161
,,,,,,,,,Lehmschüttung granuliert,Lehm,SV,CL+,0.75,,1.1,d30bf7d2-c155-57d2-92a6-955409010a78,f6478ab5-08b2-5641-baa4-6d2d281f698d
,,,,,,,,,Lehmschüttung granuliert mit CL-Nachweis,Lehm mit CL-Nachweis,CL+,CL+,1,,1.1,643770ac-c4db-52ec-a928-041c17be8e98,f951853f-19cc-5bc4-807f-9ccc7cae9b48
Lehmstein,606d978a-c44a-4b3e-8387-b1291b12e522,f25983c6-104a-4d19-8d2a-c0dccafa2f3b,606d978a-c44a-4b3e-8387-b1291b12e522,606d978a-c44a-4b3e-8387-b1291b12e522,606d978a-c44a-4b3e-8387-b1291b12e522,606d978a-c44a-4b3e-8387-b1291b12e522,606d978a-c44a-4b3e-8387-b1291b12e522,606d978a-c44a-4b3e-8387-b1291b12e522,Lehmstein,Lehm,SV,CL+,0.75,,1.3,f975384b-a36a-559f-b60b-d6873c83e2de,f6478ab5-08b2-5641-baa4-6d2d281f698d
Lehmstein,606d978a-c44a-4b3e-8387-b1291b12e522,f25983c6-104a-4d19-8d2a-c0dccafa2f3b,606d978a-c44a-4b3e-8387-b1291b12e522,606d978a-c44a-4b3e-8387-b1291b12e522,606d978a-c44a-4b3e-8387-b1291b12e522,606d978a-c44a-4b3e-8387-b1291b12e522,606d978a-c44a-4b3e-8387-b1291b12e522,606d978a-c44a-4b3e-8387-b1291b12e522,Lehmstein mit CL-Nachweis,Lehm - Störstoffkl. S4 (Neueinstuf.),Dep+,Dep+,0.75,,1.3,25759b71-a0f9-58e6-9f3c-c37da523c393,8366f303-3ab3-5934-a966-5a6eb3beb21b
Lehmstein,606d978a-c44a-4b3e-8387-b1291b12e522,f25983c6-104a-4d19-8d2a-c0dccafa2f3b,606d978a-c44a-4b3e-8387-b1291b12e522,606d978a-c44a-4b3e-8387-b1291b12e522,606d978a-c44a-4b3e-8387-b1291b12e522,606d978a-c44a-4b3e-8387-b1291b12e522,606d978a-c44a-4b3e-8387-b1291b12e522,606d978a-c44a-4b3e-8387-b1291b12e522,Lehmstein - Störstoffkl. S4 (Neueinstuf.),Lehm mit CL-Nachweis,CL+,CL+,1,,1.3,df0a0d16-04d6-5462-8668-049398139451,f951853f-19cc-5bc4-807f-9ccc7cae9b48
"Leichtbauplatte, melaminbeschichtet",nicht vorhanden,02a3f312-ea5e-45e5-b358-d50cb94c4fd5,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,"Spanplatte, melaminbeschichtet",Melaminbeschichtet,EV-,EV-,0,,,00310250-5410-5062-a057-1b849c2e958e,b056d470-ecc3-5843-a696-656f3b571e82
Leichtbetonstein aus 100% Naturbims,63ddb7e1-4e0b-43cb-8a8d-82c5c137a2a2,da067a10-d690-4308-831d-ada8ad78b8ad,63ddb7e1-4e0b-43cb-8a8d-82c5c137a2a2,63ddb7e1-4e0b-43cb-8a8d-82c5c137a2a2,63ddb7e1-4e0b-43cb-8a8d-82c5c137a2a2,63ddb7e1-4e0b-43cb-8a8d-82c5c137a2a2,63ddb7e1-4e0b-43cb-8a8d-82c5c137a2a2,63ddb7e1-4e0b-43cb-8a8d-82c5c137a2a2,Leichtbetonstein aus 100% Naturbims,Leichtbeton - best case,SV,RC-,0.25,,1.3,9e767e8f-9460-53a3-9e05-2aabddb379de,b1a3d7f8-33c5-541e-8108-341ee2a80a65
,,,,,,,,,Leichtlehm (Stroh-Lehm-Gemisch),Leichtlehm (organ./mineral.),SV,RC-,0.75,,1.1,850f4a1b-dd04-580a-a51d-8fcc999fcf12,a241940e-73e2-5360-9875-3b968dd29f4d
,,,,,,,,,Leichtlehmputz,Leichtlehm (organ./mineral.),SV,RC-,0.75,,1.4,bcfab5bd-04da-5364-b646-82ca642ec0bc,a241940e-73e2-5360-9875-3b968dd29f4d
,,,,,,,,,Leichtputz mineralisch (mineral. Untergrund),"mineral. Putz, Mörtel, Kleber",Dep+,Dep+,0,,1.4,3aab9f07-cd99-5a4e-9cba-696351dd172f,de8525b4-fbf3-5c62-abec-ca8db74dc92b
Leuchstoffröhrenfassung T8-18W (LFL),nicht vorhanden,c082c343-931e-41ca-a906-d18380463b43,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Leuchstoffröhrenfassung T8-18W (LFL),nicht eingestuft,n.e.,n.e.,n.e.,,8.4,2e83f384-f2e3-53b9-b4c2-521162c0e3a1,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Leuchstoffröhrenfassung T8-36W (LFL),nicht vorhanden,b96a374e-5920-4730-8c3e-22e5f3d2035e,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Leuchstoffröhrenfassung T8-36W (LFL),nicht eingestuft,n.e.,n.e.,n.e.,,8.4,d11da1ab-ef2b-5478-8849-211ee3b13e49,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Leuchtstoffröhre T5-14W,nicht vorhanden,16b26d8e-8695-4abe-b655-6fc592625c70,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Leuchtstoffröhre T5-14W,nicht eingestuft,n.e.,n.e.,n.e.,,8.4,272e0bb5-5816-5072-9418-996a18909e92,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Leuchtstoffröhre T5-28W,nicht vorhanden,b2a3220e-9dcb-4d91-9721-d6654b10119e,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Leuchtstoffröhre T5-28W,nicht eingestuft,n.e.,n.e.,n.e.,,8.4,bba4d954-a6b9-5beb-8e57-aebf08023d07,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Leuchtstoffröhre T8-18W,nicht vorhanden,f85424cf-3ee7-4c8b-b2bd-939307c202ae,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Leuchtstoffröhre T8-18W,nicht eingestuft,n.e.,n.e.,n.e.,,8.4,439d7df5-75e3-5465-9458-9fa6cd3d407d,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Leuchtstoffröhre T8-36W,nicht vorhanden,0d968a32-96fb-4ba4-9497-3c343cd8ecde,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Leuchtstoffröhre T8-36W,nicht eingestuft,n.e.,n.e.,n.e.,,8.4,6772cd16-1105-5c36-ba08-44d919d5c8c3,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
,,,,,,,,,"Lichtkuppel Aufsatzkranz, PP Schürze 30cm [kg/lfm]",KSTProfil,EV-,EV-,0,,7.1,ad19f3e6-00ba-5f38-94dd-e6a3f1144df9,ff2f125f-9d5f-511e-8efa-890cce3ed4b1
Linoleum,56e977b3-d042-4843-b40d-3a33dbb5a555,c3d7aef9-38a6-4d2a-a77f-2eee25461482,56e977b3-d042-4843-b40d-3a33dbb5a555,56e977b3-d042-4843-b40d-3a33dbb5a555,56e977b3-d042-4843-b40d-3a33dbb5a555,56e977b3-d042-4843-b40d-3a33dbb5a555,56e977b3-d042-4843-b40d-3a33dbb5a555,56e977b3-d042-4843-b40d-3a33dbb5a555,Linoleum,Elast BB - Linoleumbelag,EV-,EV-,0,,6.2,bfcb4380-7e29-5975-a44a-a25839c768fc,6e2e4ab2-d290-57e0-9d3e-7ac426552496
Lithium Eisenphosphat (LFP) Batterie (pro 1kWh Speicherkapazität),nicht vorhanden,c64f9557-37d7-40f6-b118-a35dc72fc45c,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Lithium Eisenphosphat (LFP) Batterie (pro 1kWh Speicherkapazität),nicht eingestuft,n.e.,n.e.,n.e.,,8.4,6aa42a77-4d6c-579d-8cae-3d45e7513491,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Lithiumbromid,nicht vorhanden,f877e931-42b3-4675-a6ea-82ad950eb831,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Lithiumbromid,nicht eingestuft,n.e.,n.e.,n.e.,,8.2,777716df-805f-58df-84a6-753567fb9d06,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Lose Hobelspandämmung,nicht vorhanden,31a631f0-1acf-4ec4-885b-d97de6d9f4ea,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Lose Hobelspandämmung,Hobelspäne unbehandelt,EV-,CL+,0.75,,,3d9f3c5f-d33a-5ab3-b3be-afe693c76ada,3ea8f0db-14ea-5c76-8264-69578bf39159
Lösemittellack weiß,95c6760d-1605-430b-8216-825f6c0ac409,511b2af7-f9b9-4e1f-8b9e-fd4ac548aa6c,95c6760d-1605-430b-8216-825f6c0ac409,95c6760d-1605-430b-8216-825f6c0ac409,95c6760d-1605-430b-8216-825f6c0ac409,95c6760d-1605-430b-8216-825f6c0ac409,95c6760d-1605-430b-8216-825f6c0ac409,95c6760d-1605-430b-8216-825f6c0ac409,Lösemittellack weiß,Lacke (auf Holzuntergrund),EV-,EV-,0,,5.6,70ea30fe-3282-5afa-81f7-ed564c40d426,7a95c29f-5b21-5f8b-a98c-081cc92b1ab8
Lüfter dezentral (Wand & Decke) 60 m3/h,nicht vorhanden,cb36ce5f-47d7-4d02-bc07-1e8da903e5c0,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Lüfter dezentral (Wand & Decke) 60 m3/h,nicht eingestuft,n.e.,n.e.,n.e.,,8.2,eeb164b7-7f1e-59d9-95ec-e11b1f1d2e2c,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Lüfter dezentral mit WRG (Wand & Decke) 60 m3/h,nicht vorhanden,ef7e0021-d6d9-4940-8160-cb63021a50c6,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Lüfter dezentral mit WRG (Wand & Decke) 60 m3/h,nicht eingestuft,n.e.,n.e.,n.e.,,8.2,cb457a48-efd7-5d02-bd92-66eddb8eaf44,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Lüfter zentral 10000 m3/h,nicht vorhanden,76ac97e0-8016-44f0-b74b-4ba6ea69f00b,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Lüfter zentral 10000 m3/h,nicht eingestuft,n.e.,n.e.,n.e.,,8.2,96c68c2a-389e-5b34-a7b6-ef6d21998cb2,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Lüfter zentral 30000 m3/h,nicht vorhanden,03f5fc6b-115b-4b86-a528-2f9311d44c9b,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Lüfter zentral 30000 m3/h,nicht eingestuft,n.e.,n.e.,n.e.,,8.2,f93cda7c-2918-562e-9237-a47f076183b2,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Lüfter zentral 5000 m3/h,nicht vorhanden,cc2903a5-0475-48c5-8240-c1b0c251b9d3,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Lüfter zentral 5000 m3/h,nicht eingestuft,n.e.,n.e.,n.e.,,8.2,cd9157e0-006f-5488-8da5-beb211a9ae61,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Lüfter zentral mit WRG 1000 m3/h,nicht vorhanden,d443a0ef-4fbf-4e66-968b-db209f9ef72b,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Lüfter zentral mit WRG 1000 m3/h,nicht eingestuft,n.e.,n.e.,n.e.,,8.2,c9aa7e37-ea52-5e77-beac-ff2e05a2e690,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Lüfter zentral mit WRG 10000 m3/h,nicht vorhanden,466a78bc-2465-4140-b244-fdfd0fd79d84,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Lüfter zentral mit WRG 10000 m3/h,nicht eingestuft,n.e.,n.e.,n.e.,,8.2,5383bddd-45b8-52cc-ad84-af34668745d2,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Lüfter zentral mit WRG 5000 m3/h,nicht vorhanden,78e6949f-ab42-4243-aab9-10a5a7d12b57,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Lüfter zentral mit WRG 5000 m3/h,nicht eingestuft,n.e.,n.e.,n.e.,,8.2,a014e0cb-bea7-5189-9a8c-2787507245fa,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Lüftungskanal (verzinktes Stahlblech),nicht vorhanden,ffa736f4-51b1-4c03-8cdd-3f098993b363,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Lüftungskanal (verzinktes Stahlblech),nicht eingestuft,n.e.,n.e.,n.e.,,8.2,3b97c5ba-ec87-5c99-abd8-edca18a71993,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
,,,,,,,,,Magnesiaestrich / Steinholzestrich,Magnesiaestrich / Steinholzestrich,Dep-,Dep-,0,,1.4,4ee8de77-c04c-5be5-b625-d10093a765fd,90c2306a-84e6-5ba8-a5d2-17ec12c817ea
Marmorplatte,e9be7506-62ce-45b8-853f-c45c3f82401f,02ec5054-ace1-4ffc-a46b-92be3bedb416,e9be7506-62ce-45b8-853f-c45c3f82401f,e9be7506-62ce-45b8-853f-c45c3f82401f,e9be7506-62ce-45b8-853f-c45c3f82401f,e9be7506-62ce-45b8-853f-c45c3f82401f,e9be7506-62ce-45b8-853f-c45c3f82401f,e9be7506-62ce-45b8-853f-c45c3f82401f,Marmorplatte,Steinboden (unproblem. imprägniert / beschichtet),RC+,RC+,1,,1.3,3ca3269c-86f6-5c7b-bafc-4b4c56bfbd5f,89c83e31-2df8-5a43-bb8b-2da14f2111a5
,,,,,,,,,MDF-Platte,Holzfaser - HDF/MDF,EV+,RC-,0.25,,3.2,fba8b7d7-33a9-560d-8c52-0dacf62a8b94,44a4fe76-2997-5cff-bcbd-6b376266ae94
Mehrschichtparkett (generisch),3b66b7be-bc1e-4dd4-8779-453d4f81825f,ed739600-fbd0-4b3e-b577-453778a5270e,3b66b7be-bc1e-4dd4-8779-453d4f81825f,3b66b7be-bc1e-4dd4-8779-453d4f81825f,3b66b7be-bc1e-4dd4-8779-453d4f81825f,3b66b7be-bc1e-4dd4-8779-453d4f81825f,3b66b7be-bc1e-4dd4-8779-453d4f81825f,3b66b7be-bc1e-4dd4-8779-453d4f81825f,Mehrschichtparkett  (unproblem. beschichtet),Parkett,RC-,RC-,1,,3.3,5a2f5818-9634-57a7-b614-fc1ce7ed1df4,38ca7d87-cf81-5263-b418-70a0f4cb73f0
Melaminharz-Schaum,7082b2c3-5203-40ba-a6f8-d16edba60f5f,cc54d8cb-f26c-41ea-a152-8b28f7fb5b1d,7082b2c3-5203-40ba-a6f8-d16edba60f5f,7082b2c3-5203-40ba-a6f8-d16edba60f5f,7082b2c3-5203-40ba-a6f8-d16edba60f5f,7082b2c3-5203-40ba-a6f8-d16edba60f5f,7082b2c3-5203-40ba-a6f8-d16edba60f5f,7082b2c3-5203-40ba-a6f8-d16edba60f5f,Melaminharz-Schaum,"KSTDämm (Phenol, Melamin,…)",EB,EB,0,,2.17,c5d52821-fc60-50a9-a00f-610ef1e729d6,6ff7c22b-634d-5ad0-a57d-ecc307e1f78b
Messing-Bauteil,d9ee3a94-83a2-4615-b071-9afa3aaeff42,3d5b565c-187b-4413-ab45-3eaa89ede35d,d9ee3a94-83a2-4615-b071-9afa3aaeff42,d9ee3a94-83a2-4615-b071-9afa3aaeff42,d9ee3a94-83a2-4615-b071-9afa3aaeff42,d9ee3a94-83a2-4615-b071-9afa3aaeff42,d9ee3a94-83a2-4615-b071-9afa3aaeff42,d9ee3a94-83a2-4615-b071-9afa3aaeff42,Messing-Bauteil,Messing,CL+,CL+,1,,4.4,806e0b77-6b05-5cd8-b9af-c08ad1a358f7,31aa0180-7136-5841-b01b-3be12042a233
Metallbeschichtung (wasserbasiert),93eac197-0003-41ea-b81f-e517dd3389fb,af88e99e-5662-41cf-bf12-d963cd8d0c4e,93eac197-0003-41ea-b81f-e517dd3389fb,93eac197-0003-41ea-b81f-e517dd3389fb,93eac197-0003-41ea-b81f-e517dd3389fb,93eac197-0003-41ea-b81f-e517dd3389fb,93eac197-0003-41ea-b81f-e517dd3389fb,93eac197-0003-41ea-b81f-e517dd3389fb,Metallbeschichtung (wasserbasiert),Lacke (auf metall. Untergrund) nicht eingestuft,n.e.,n.e.,n.e.,,4.7,79741902-1123-5a08-8c08-b64d32eb0a0e,b742baf9-f4d2-5159-84be-d4e6abcb185d
Metalllack (lösemittelbasiert),118d1b5e-5f22-4d04-8711-c4b02de02209,b2a5f872-5e24-461c-a6e4-88ef88ad7c8c,118d1b5e-5f22-4d04-8711-c4b02de02209,118d1b5e-5f22-4d04-8711-c4b02de02209,118d1b5e-5f22-4d04-8711-c4b02de02209,118d1b5e-5f22-4d04-8711-c4b02de02209,118d1b5e-5f22-4d04-8711-c4b02de02209,118d1b5e-5f22-4d04-8711-c4b02de02209,Metalllack (lösemittelbasiert),Lacke (auf metall. Untergrund) nicht eingestuft,n.e.,n.e.,n.e.,,4.7,75245b63-39de-51a9-98f5-480d82ecc21b,b742baf9-f4d2-5159-84be-d4e6abcb185d
Mineralfaser Deckenplatten (15 mm),def9e058-ac16-489e-9457-db7645404194,3175cb36-065b-4bc7-9c7e-dd256bba5e8f,def9e058-ac16-489e-9457-db7645404194,def9e058-ac16-489e-9457-db7645404194,def9e058-ac16-489e-9457-db7645404194,def9e058-ac16-489e-9457-db7645404194,def9e058-ac16-489e-9457-db7645404194,def9e058-ac16-489e-9457-db7645404194,"Mineralfaser Deckenplatten (Dicke 0,015 m)",Mineralwolle Steinwolle,Dep-,RC-,0.5,,1.3,a04b84d2-2269-5699-911a-509f7ac8cbec,08aa86f2-573f-5c0a-aa6f-9d39b661e252
Mineralisch modifizierte Trockenschüttung,nicht vorhanden,93629cd1-4a44-4da5-89a8-3a12ac6c81b5,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Mineralisch modifizierte Trockenschüttung,Holzzement,Dep-,SV,0.25,,,fdbcd6df-b742-5653-b53e-09ad10734182,e9471e11-f091-58c5-9139-f783f619cabd
Mineralwolle (Boden-Dämmung),2691d6e4-a41e-40d7-92ca-680f8785fc1d,58b1ba79-459b-4d58-bc39-91a8f98e71ba,2691d6e4-a41e-40d7-92ca-680f8785fc1d,2691d6e4-a41e-40d7-92ca-680f8785fc1d,2691d6e4-a41e-40d7-92ca-680f8785fc1d,2691d6e4-a41e-40d7-92ca-680f8785fc1d,2691d6e4-a41e-40d7-92ca-680f8785fc1d,2691d6e4-a41e-40d7-92ca-680f8785fc1d,Mineralwolle (Boden-Dämmung),Mineralwolle Glaswolle,Dep-,SV,0.75,,2.1,dbedfaca-016a-594b-8807-4bac5b47dead,b725c20b-0bac-503e-b96f-9bd8af24ee08
