oekobaudatName,oekobaudatUuid____448d1096-2017-4901-a560-f652a83c737e____2020-II,oekobaudatUuid____22885a6e-1765-4ade-a35e-ae668bd07256____2023-I,oekobaudatUuid____cd2bda71-760b-4fcc-8a0b-3877c10000a8____2021-II,oekobaudatUuid____8201b671-10cd-4dc5-9750-0b856d998be4____2020-I,oekobaudatUuid____0454ab26-f45c-4e24-8260-9e2049738b75____2019-III,oekobaudatUuid____815d8970-02dc-4abc-b02e-78d41b4e4bb5____2019-II,oekobaudatUuid____30b63be3-b76b-4bd4-a876-330790c228a9____2019-I,oekobaudatUuid____cc02f499-6b0f-4556-bb4a-7abe48e55f71____2017,tBaustoffName,eolCategoryName,eolScenarioReal,eolScenarioPotential,technologyFactor,Unnamed: 8,processCategoryNumber,productUuid,eolCategoryUuid
Asphalttragschicht,85de02e5-2782-4050-9c01-c5de3849fbce,f34786e7-0953-4085-9f3d-955481cdd4ea,85de02e5-2782-4050-9c01-c5de3849fbce,85de02e5-2782-4050-9c01-c5de3849fbce,85de02e5-2782-4050-9c01-c5de3849fbce,85de02e5-2782-4050-9c01-c5de3849fbce,85de02e5-2782-4050-9c01-c5de3849fbce,85de02e5-2782-4050-9c01-c5de3849fbce,Asphalttragschicht - Infrastruktur,Asphalt (Infrastrukturbau),RC+,CL+,0.75,,1.5,5766c319-634b-5601-8a29-63a5c68c4b69,fbd899e8-76f6-5810-9d88-25e263bfb9b1
Bade- und Duschwanne Acryl,nicht vorhanden,31b178fb-3403-4997-8d16-d59843d54bcd,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Bade- und Duschwanne Acryl,nicht eingestuft,n.e.,n.e.,n.e.,,8.3,a315831f-a817-59a8-9a69-cba8131558e0,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Balkenschichtholz Nadelholz (generisch),ac361408-4ede-4ed2-a638-598ee3c53285,21500862-0dac-4cd2-b5bd-f6cb8d5b121b,ac361408-4ede-4ed2-a638-598ee3c53285,ac361408-4ede-4ed2-a638-598ee3c53285,ac361408-4ede-4ed2-a638-598ee3c53285,ac361408-4ede-4ed2-a638-598ee3c53285,ac361408-4ede-4ed2-a638-598ee3c53285,ac361408-4ede-4ed2-a638-598ee3c53285,"Balkenschichtholz Nadelholz - unbeschichtet, naturbelassen","Holz - massiv, naturbelassen",RC+,CL+,0.75,,3.1,3a51f86d-c6f0-53e7-89fd-c1ae0c174729,9410ab32-3758-5aaa-b196-b7ecd5ce0e30
Balkenschichtholz Nadelholz (generisch),ac361408-4ede-4ed2-a638-598ee3c53285,21500862-0dac-4cd2-b5bd-f6cb8d5b121b,ac361408-4ede-4ed2-a638-598ee3c53285,ac361408-4ede-4ed2-a638-598ee3c53285,ac361408-4ede-4ed2-a638-598ee3c53285,ac361408-4ede-4ed2-a638-598ee3c53285,ac361408-4ede-4ed2-a638-598ee3c53285,ac361408-4ede-4ed2-a638-598ee3c53285,Balkenschichtholz Nadelholz - beschichtet,"Holz - massiv, beschichtet",RC+,CL-,1,,3.1,6c0c7a70-23f1-5b10-8c62-d14714971aa3,3d7d45f8-3a73-5cc3-9a90-fbb8af1d34e7
Balkenschichtholz Nadelholz (generisch),ac361408-4ede-4ed2-a638-598ee3c53285,21500862-0dac-4cd2-b5bd-f6cb8d5b121b,ac361408-4ede-4ed2-a638-598ee3c53285,ac361408-4ede-4ed2-a638-598ee3c53285,ac361408-4ede-4ed2-a638-598ee3c53285,ac361408-4ede-4ed2-a638-598ee3c53285,ac361408-4ede-4ed2-a638-598ee3c53285,ac361408-4ede-4ed2-a638-598ee3c53285,Balkenschichtholz Nadelholz - Störst.kl. S4 (Neueinstuf.),"Holz - behandelt mit HSM , FSM oder Beschichtung schwermetallfrei und halogenorg. V. > 1 und <= 3 M %",EV-,EV-,0,,3.1,94147cf1-e78b-5c5b-be01-96a5e66d4d15,efdfd939-741f-5c54-9233-5a46152071bb
Baumwolle konventionell,206deb33-2710-417d-9b92-aa70c7958334,5747cdb6-fb7d-4fbf-b7ee-38647ee470c7,206deb33-2710-417d-9b92-aa70c7958334,206deb33-2710-417d-9b92-aa70c7958334,206deb33-2710-417d-9b92-aa70c7958334,206deb33-2710-417d-9b92-aa70c7958334,206deb33-2710-417d-9b92-aa70c7958334,206deb33-2710-417d-9b92-aa70c7958334,Baumwolle konventionell,nicht eingestuft,n.e.,n.e.,n.e.,,2.14,9cac6bd2-6ca0-5f99-855c-beabfc5339c8,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Baumwolle ökologisch,061f0d5b-61f4-476d-9f2e-96f6a6df7786,e4800e06-854a-4f09-9114-21340fd19af5,061f0d5b-61f4-476d-9f2e-96f6a6df7786,061f0d5b-61f4-476d-9f2e-96f6a6df7786,061f0d5b-61f4-476d-9f2e-96f6a6df7786,061f0d5b-61f4-476d-9f2e-96f6a6df7786,061f0d5b-61f4-476d-9f2e-96f6a6df7786,061f0d5b-61f4-476d-9f2e-96f6a6df7786,Baumwolle ökologisch,nicht eingestuft,n.e.,n.e.,n.e.,,2.14,db95170d-7c2e-5f72-a92f-dbc93124d8f1,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Befestigungsmittel/Schrauben Edelstahl,41ecf1e2-3edd-41ab-8616-68a856c815a5,8594fb05-4c10-4533-963a-7d1d28c7c148,41ecf1e2-3edd-41ab-8616-68a856c815a5,41ecf1e2-3edd-41ab-8616-68a856c815a5,41ecf1e2-3edd-41ab-8616-68a856c815a5,41ecf1e2-3edd-41ab-8616-68a856c815a5,41ecf1e2-3edd-41ab-8616-68a856c815a5,41ecf1e2-3edd-41ab-8616-68a856c815a5,Befestigungsmittel/Schrauben Edelstahl,nicht eingestuft,n.e.,n.e.,n.e.,,7.4,4d039fc7-7923-556b-8001-76d7ad420cee,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Befestigungsmittel/Schrauben verzinkt,b9c775be-d100-4d35-bdf3-c5964e655692,f9caaa66-88c9-4a65-8718-a15aec11fd8b,b9c775be-d100-4d35-bdf3-c5964e655692,b9c775be-d100-4d35-bdf3-c5964e655692,b9c775be-d100-4d35-bdf3-c5964e655692,b9c775be-d100-4d35-bdf3-c5964e655692,b9c775be-d100-4d35-bdf3-c5964e655692,b9c775be-d100-4d35-bdf3-c5964e655692,Befestigungsmittel/Schrauben verzinkt,nicht eingestuft,n.e.,n.e.,n.e.,,7.4,d6560bf3-5d29-50fe-9958-30bf42f39e2d,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Beschlagverbund Fenster Stahl,ea4ff1e8-4ee8-4ecf-8951-a79b5b60dd2a,b6e9b76b-5be6-4b7b-be40-c32da896190f,ea4ff1e8-4ee8-4ecf-8951-a79b5b60dd2a,ea4ff1e8-4ee8-4ecf-8951-a79b5b60dd2a,ea4ff1e8-4ee8-4ecf-8951-a79b5b60dd2a,ea4ff1e8-4ee8-4ecf-8951-a79b5b60dd2a,ea4ff1e8-4ee8-4ecf-8951-a79b5b60dd2a,ea4ff1e8-4ee8-4ecf-8951-a79b5b60dd2a,Beschlagverbund Fenster Stahl,nicht eingestuft,n.e.,n.e.,n.e.,,7.4,a69979bb-b2cc-5b59-9ed1-4113273f970c,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
