"filename", "language", "TypeScript", "JavaScript", "JSON with Comments", "JSON", "Markdown", "Ignore", "YAML", "XML", "CSS", "TypeScript JSX", "Prisma", "MS SQL", "CSV", "Shell Script", "comment", "blank", "total"
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/projects/[projectId]/catalog/components/[componentUuid]/(components)/HistoryBackButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 1, 7, 34
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/projects/[projectId]/catalog/components/[componentUuid]/(components)/Modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 5, 56
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/projects/[projectId]/catalog/components/[componentUuid]/(components)/circularity-info.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 260, 0, 0, 0, 0, 6, 18, 284
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/projects/[projectId]/catalog/components/[componentUuid]/(components)/layer-details/ComponentLayer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 8, 105
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/projects/[projectId]/catalog/components/[componentUuid]/(components)/layer-details/circularity-info/CircularityInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 2, 9, 57
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/projects/[projectId]/catalog/components/[componentUuid]/(components)/layer-details/circularity-info/TBaustoffProductNameOrSelectorButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 14, 128
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/projects/[projectId]/catalog/components/[componentUuid]/(components)/layer-details/circularity-info/circularity-details/CircularityDetails.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 345, 0, 0, 0, 0, 3, 32, 380
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/projects/[projectId]/catalog/components/[componentUuid]/(components)/layer-details/circularity-info/circularity-details/DisturbingSubstances.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 237, 0, 0, 0, 0, 1, 27, 265
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/projects/[projectId]/catalog/components/[componentUuid]/(components)/layer-details/circularity-info/circularity-details/EOLScenarioEditButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 0, 0, 0, 0, 0, 23, 201
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/projects/[projectId]/catalog/components/[componentUuid]/(components)/layer-details/circularity-info/circularity-details/EolScenarioInfoBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 2, 6, 44
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/projects/[projectId]/catalog/components/[componentUuid]/(components)/layer-details/circularity-info/circularity-details/disturbing-substances/BuiltS4SpecificScenarioModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 249, 0, 0, 0, 0, 0, 12, 261
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/projects/[projectId]/catalog/components/[componentUuid]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 12, 10, 99
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/projects/[projectId]/catalog/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 7, 24
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/projects/[projectId]/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 6, 38
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/test/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 79, 12, 133
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(components)/domain-specific/modules/passport-overview/circularity/CircularityBarChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 1, 6, 84
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(components)/domain-specific/modules/passport-overview/materials/MaterialsBarChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 8, 99
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(components)/domain-specific/modules/passport-overview/resources/ResourcesPenrtGwpDonutChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 12, 111
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(components)/domain-specific/modules/passport-overview/resources/ResourcesRmiPieChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 10, 79
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(components)/generic/Button/Button.stories.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(components)/generic/Button/Button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 5, 48
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(components)/generic/VerticalNavigation/VerticalNavigation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 5, 45
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(components)/generic/layout-elements.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 1, 22
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(utils)/i18nFormattingOptions.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(web-optimized)/(index)/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 2, 39
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(web-optimized)/[passportId]/(components)/DummyAccordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 4, 26
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(web-optimized)/[passportId]/(components)/NavBar/NavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 4, 9, 68
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(web-optimized)/[passportId]/(components)/tabs/modules/BuildingBaseInformation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 6, 81
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(web-optimized)/[passportId]/(components)/tabs/modules/Circularity/Circularity.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 8, 88
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(web-optimized)/[passportId]/(components)/tabs/modules/Materials/Materials.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 12, 129
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(web-optimized)/[passportId]/(components)/tabs/modules/Resources/Gwp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 9, 81
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(web-optimized)/[passportId]/(components)/tabs/modules/Resources/Penrt.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 11, 81
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(web-optimized)/[passportId]/(components)/tabs/modules/Resources/Resources.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 8, 70
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(web-optimized)/[passportId]/(components)/tabs/modules/Resources/Rmi.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 9, 73
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(web-optimized)/[passportId]/(components)/tabs/modules/components/InfoIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 0, 8, 142
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(web-optimized)/[passportId]/(components)/tabs/modules/components/TotalAndNrfRelativeValuesDisplay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 3, 32
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(web-optimized)/[passportId]/(components)/tabs/overview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 8, 69
